collection,link_path,link_type,linking_record_sample,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b12,b16,b32,b64,b128,b256,b512,b1024,b4096,b16384,b65535,b262144,bmax
"app.bsky.feed.post",".embed.media.images[app.bsky.embed.images#image].alt","uri","at://did:plc:ej3ypap4yaiqhdtoavfapqga/app.bsky.feed.post/3lhlxzqwhkh42",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.list",".posts[].author.avatar","uri","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"events.smokesignal.calendar.event",".location.url","uri","at://did:plc:6x6egpvkpfeszbzmn5u3lczh/events.smokesignal.calendar.event/3lhylbxekm52d",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.uri","at-uri","at://did:plc:utmhhwwmzlbqteuxgsq2osbw/app.bsky.feed.post/3libita4cck2g",28907270,3594105,1066633,493918,280338,179006,122729,88364,66686,51854,74140,86204,108049,42349,17181,8115,3920,1955,1008,35,1,0,0
"link.woosh.linkPage",".collections[].links[].uri","uri","",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].descriptionFacets[].features[app.bsky.richtext.facet#mention].did","did","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"network.comind.link",".target.uri","uri","at://did:plc:ljcmm7vvxki72g3j6rono6sa/network.comind.link/3lij4gimxaf2w",467,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"exchange.recipe.recipe",".attribution.url","uri","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chat.tinychat.core.message",".reply.parent.uri","at-uri","at://did:plc:ubdeopbbkbgedccgbum7dhsh/chat.tinychat.core.message/3lgxlrd6xgc2b",408,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"red.pinned.concept.collectionmember",".next.uri","at-uri","at://did:plc:5uzszbdtpxkiqezww6g7s53o/red.pinned.concept.collectionmember/3lgyii4fafl2y",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.list",".descriptionFacets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:zeyumgxlhefv7vntlr3kx745/app.bsky.graph.list/3libxr5novm2x",652,17,3,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].feedUri","at-uri","",172,15,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"red.pinned.concept.collection",".head.uri","at-uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.author.avatar","uri","at://did:plc:4q3rivxbikxvvcqg2zpjzhxa/app.bsky.feed.post/3li42gypnah23",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"ge.shadowcaster.dev.board.channel.3lh4ubveobs2x.messages",".channel","at-uri","at://did:plc:gdbw3mid53ebnu55rjdmz4vz/ge.shadowcaster.dev.board.channel.3lh4ubveobs2x.messages/3lh4ucdzytk2x",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.record.reply.root.author.did","did","at://did:plc:4x27xkw7cb7ysswmk2pdbip5/app.bsky.feed.post/3lhhhree4k62n",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.branch.community",".avatar","uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.hobbyhub.miniature",".imageUrl","uri","at://did:plc:b2cscbdwoddanbcnbh3rnn66/app.hobbyhub.miniature/3lioqcx7hsw2d",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.record.reply.root.record.facets[app.bsky.richtext.facet].features[app.bsky.richtext.facet#mention].did","did","at://did:plc:4q3rivxbikxvvcqg2zpjzhxa/app.bsky.feed.post/3li3wcwvqpj2h",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".root.uri","at-uri","at://did:plc:4ybdml7a2f32eg36d3jb65so/app.bsky.feed.post/3lgxr3sgebm23",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.parent.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcatfnzs2i",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chat.roomy.v0.store",".key[]","did","",2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.images[].alt","uri","at://did:plc:4oupjbl2twr6bykubtgevid6/app.bsky.feed.post/3lhihmcne422h",4185,142,39,11,10,5,2,3,1,0,2,2,4,1,0,1,0,0,0,0,0,0,0
"app.sonasky.ref",".character.description","uri","at://did:plc:jxtpg646iichvhegshjt43gg/app.sonasky.ref/3lie2uwwsbs2y",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue.badge.collection",".did","did","at://did:plc:2wmjihpa4o2myl4jowni24s6/blue.badge.collection/3lgygalusaa2u",0,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"app.vercel.content-archive.entry",".url","uri","at://did:plc:iuxkmtq54kuy4hu3wa3kge6d/app.vercel.content-archive.entry/223limqa4vpgv",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.parent.value.reply.parent.value.facets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.reply.root.embed.images[].thumb","uri","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.external.thumbnail","uri","at://did:plc:jydphz3eq7ql2tbfhnmiczvf/app.bsky.feed.post/3libqc5gixm2l",3,1,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.record.reply.root.author.avatar","uri","at://did:plc:4x27xkw7cb7ysswmk2pdbip5/app.bsky.feed.post/3lhhhree4k62n",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"events.smokesignal.calendar.rsvp",".subject.uri","at-uri","at://did:plc:fwoq4y4ddxuoye2io4peagju/events.smokesignal.calendar.rsvp/3lhylcsww5w2f",4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.facets[].features[].uri","uri","at://did:plc:lbbvh26ouausjnljkamgtxfj/app.bsky.feed.post/3lgxmrqw3bs2a",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sh.tangled.graph.follow",".subject","did","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.actor.profile",".pinned_post.uri","at-uri","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"space.polypod.pinkgill.delete",".tile","at-uri","at://did:plc:izttpdp3l6vss5crelt5kcux/space.polypod.pinkgill.delete/3lgzzpswm6c2y",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].listUri","did","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"social.psky.chat.message",".facets[].features[social.psky.richtext.facet#mention].did","did","at://did:plc:nblqefnc2qwy7nt5misrkuqs/social.psky.chat.message/3lhpixg544s5g",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.message.direct",".recipient","did","at://did:plc:6zrb5zeumqga55alioi5cq6c/app.bsky.message.direct/dm_did:plc:3ijusmsw4eizbtvn3k263rhv",42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.facets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcatfnzs2i",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.ngrok-free.f217-185-199-103-138.entry",".url","uri","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".parentReply","at-uri","at://did:plc:jlqchp3t56ah3jq4rbd5qkhf/app.bsky.feed.post/3lhrvxadid224",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.root.value.embed.record.record.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.parent.blocks[].feedUri","at-uri","",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bluepic.feed.like",".subject.uri","at-uri","at://did:plc:xtcggsgdivixamwz6w7gplf4/app.bluepic.feed.like/3life2beab22q",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".description","uri","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.root.value.embed.record.record.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.actor.profile",".bridgyOriginalDescription","uri","at://did:plc:ih26b5xrmnbmewlawzr33zvw/app.bsky.actor.profile/self",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.parent.parent.blocks[].did","did","at://did:plc:gxatddge6yznhczdjaclibcg/app.bsky.feed.generator/aaap5xj5maybs",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.threadgate",".allow[].list","at-uri","at://did:plc:74hgwbxu4xppohh6gjhnozzh/app.bsky.feed.threadgate/3lgxo2q4k7k2d",8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
